category,claim_short_id,acord_path,police_path,loss_path,rc_path,dl_path,hospital_path,damage_difference,injury_mismatch,date_difference_days,location_match,vehicle_match,rc_match,dl_match,patient_match,hospital_match,fraud_inconsistency_score,severity_level,complexity_score
health,CLM-2025-0001,C:\claims_agent\ClaimWise\ml\dataset\health\accord_form_100\CLM-2025-0001-HEA_SAFE_acord.pdf,,C:\claims_agent\ClaimWise\ml\dataset\health\loss_reports_100\CLM-2025-0001-HEA_SAFE_loss.pdf,,,C:\claims_agent\ClaimWise\ml\dataset\health\hospital_bills_100\CLM-2025-0001-HEA_SAFE_hospital.pdf,0.0,0,0,0.5,0.0,1.0,1.0,1.0,1.0,0.3,Low,2.0
health,CLM-2025-0002,C:\claims_agent\ClaimWise\ml\dataset\health\accord_form_100\CLM-2025-0002-HEA_SAFE_acord.pdf,,C:\claims_agent\ClaimWise\ml\dataset\health\loss_reports_100\CLM-2025-0002-HEA_SAFE_loss.pdf,,,C:\claims_agent\ClaimWise\ml\dataset\health\hospital_bills_100\CLM-2025-0002-HEA_SAFE_hospital.pdf,0.0154,0,1,0.5,0.0,1.0,1.0,1.0,1.0,0.3231,Low,2.0
health,CLM-2025-0003,C:\claims_agent\ClaimWise\ml\dataset\health\accord_form_100\CLM-2025-0003-HEA_SAFE_acord.pdf,,C:\claims_agent\ClaimWise\ml\dataset\health\loss_reports_100\CLM-2025-0003-HEA_SAFE_loss.pdf,,,C:\claims_agent\ClaimWise\ml\dataset\health\hospital_bills_100\CLM-2025-0003-HEA_SAFE_hospital.pdf,0.0328,0,0,0.5,0.0,1.0,1.0,1.0,1.0,0.3066,Low,2.0
health,CLM-2025-0004,C:\claims_agent\ClaimWise\ml\dataset\health\accord_form_100\CLM-2025-0004-HEA_SAFE_acord.pdf,,C:\claims_agent\ClaimWise\ml\dataset\health\loss_reports_100\CLM-2025-0004-HEA_SAFE_loss.pdf,,,C:\claims_agent\ClaimWise\ml\dataset\health\hospital_bills_100\CLM-2025-0004-HEA_SAFE_hospital.pdf,0.0034,0,0,0.5,0.0,1.0,1.0,1.0,1.0,0.3007,Low,2.0
health,CLM-2025-0005,C:\claims_agent\ClaimWise\ml\dataset\health\accord_form_100\CLM-2025-0005-HEA_SAFE_acord.pdf,,C:\claims_agent\ClaimWise\ml\dataset\health\loss_reports_100\CLM-2025-0005-HEA_SAFE_loss.pdf,,,C:\claims_agent\ClaimWise\ml\dataset\health\hospital_bills_100\CLM-2025-0005-HEA_SAFE_hospital.pdf,0.018,0,1,0.5,0.0,1.0,1.0,1.0,1.0,0.3236,Low,2.0
health,CLM-2025-0006,C:\claims_agent\ClaimWise\ml\dataset\health\accord_form_100\CLM-2025-0006-HEA_SAFE_acord.pdf,,C:\claims_agent\ClaimWise\ml\dataset\health\loss_reports_100\CLM-2025-0006-HEA_SAFE_loss.pdf,,,C:\claims_agent\ClaimWise\ml\dataset\health\hospital_bills_100\CLM-2025-0006-HEA_SAFE_hospital.pdf,0.0032,0,2,0.5,0.0,1.0,1.0,1.0,1.0,0.3406,Low,2.0
health,CLM-2025-0007,C:\claims_agent\ClaimWise\ml\dataset\health\accord_form_100\CLM-2025-0007-HEA_SAFE_acord.pdf,,C:\claims_agent\ClaimWise\ml\dataset\health\loss_reports_100\CLM-2025-0007-HEA_SAFE_loss.pdf,,,C:\claims_agent\ClaimWise\ml\dataset\health\hospital_bills_100\CLM-2025-0007-HEA_SAFE_hospital.pdf,0.0181,0,2,0.5,0.0,1.0,1.0,1.0,1.0,0.3436,Low,2.0
health,CLM-2025-0008,C:\claims_agent\ClaimWise\ml\dataset\health\accord_form_100\CLM-2025-0008-HEA_SAFE_acord.pdf,,C:\claims_agent\ClaimWise\ml\dataset\health\loss_reports_100\CLM-2025-0008-HEA_SAFE_loss.pdf,,,C:\claims_agent\ClaimWise\ml\dataset\health\hospital_bills_100\CLM-2025-0008-HEA_SAFE_hospital.pdf,0.0414,0,0,0.5,0.0,1.0,1.0,1.0,1.0,0.3083,Low,2.0
health,CLM-2025-0009,C:\claims_agent\ClaimWise\ml\dataset\health\accord_form_100\CLM-2025-0009-HEA_SAFE_acord.pdf,,C:\claims_agent\ClaimWise\ml\dataset\health\loss_reports_100\CLM-2025-0009-HEA_SAFE_loss.pdf,,,C:\claims_agent\ClaimWise\ml\dataset\health\hospital_bills_100\CLM-2025-0009-HEA_SAFE_hospital.pdf,0.029,0,1,0.5,0.0,1.0,1.0,1.0,1.0,0.3258,Low,2.0
health,CLM-2025-0010,C:\claims_agent\ClaimWise\ml\dataset\health\accord_form_100\CLM-2025-0010-HEA_SAFE_acord.pdf,,C:\claims_agent\ClaimWise\ml\dataset\health\loss_reports_100\CLM-2025-0010-HEA_SAFE_loss.pdf,,,C:\claims_agent\ClaimWise\ml\dataset\health\hospital_bills_100\CLM-2025-0010-HEA_SAFE_hospital.pdf,0.0248,0,1,0.5,0.0,1.0,1.0,1.0,1.0,0.325,Low,2.0
