category,claim_short_id,acord_path,police_path,loss_path,damage_difference,injury_mismatch,date_difference_days,location_match,vehicle_match,fraud_inconsistency_score,severity_level,complexity_score
life,CLM-2025-0001,C:\claims_agent\dataset\life\accord_form_100\CLM-2025-0001-LIF_SAFE_acord.pdf,C:\claims_agent\dataset\life\police_reports_100\PR-10001-LIF_CLM-2025-0001-LIF_SAFE_police.pdf,C:\claims_agent\dataset\life\loss_reports_100\CLM-2025-0001-LIF_SAFE_loss.pdf,0.0382,0,1,1.0,0.0,0.2276,Low,2.0
life,CLM-2025-0002,C:\claims_agent\dataset\life\accord_form_100\CLM-2025-0002-LIF_SAFE_acord.pdf,C:\claims_agent\dataset\life\police_reports_100\PR-10002-LIF_CLM-2025-0002-LIF_SAFE_police.pdf,C:\claims_agent\dataset\life\loss_reports_100\CLM-2025-0002-LIF_SAFE_loss.pdf,0.0,0,0,1.0,0.0,0.2,Low,1.0
life,CLM-2025-0003,C:\claims_agent\dataset\life\accord_form_100\CLM-2025-0003-LIF_SAFE_acord.pdf,C:\claims_agent\dataset\life\police_reports_100\PR-10003-LIF_CLM-2025-0003-LIF_SAFE_police.pdf,C:\claims_agent\dataset\life\loss_reports_100\CLM-2025-0003-LIF_SAFE_loss.pdf,0.0094,0,1,1.0,0.0,0.2219,Low,2.0
life,CLM-2025-0004,C:\claims_agent\dataset\life\accord_form_100\CLM-2025-0004-LIF_SAFE_acord.pdf,C:\claims_agent\dataset\life\police_reports_100\PR-10004-LIF_CLM-2025-0004-LIF_SAFE_police.pdf,C:\claims_agent\dataset\life\loss_reports_100\CLM-2025-0004-LIF_SAFE_loss.pdf,0.0427,0,1,1.0,0.0,0.2285,Low,2.0
life,CLM-2025-0005,C:\claims_agent\dataset\life\accord_form_100\CLM-2025-0005-LIF_SAFE_acord.pdf,C:\claims_agent\dataset\life\police_reports_100\PR-10005-LIF_CLM-2025-0005-LIF_SAFE_police.pdf,C:\claims_agent\dataset\life\loss_reports_100\CLM-2025-0005-LIF_SAFE_loss.pdf,0.009,0,1,1.0,0.0,0.2218,Low,2.0
life,CLM-2025-0006,C:\claims_agent\dataset\life\accord_form_100\CLM-2025-0006-LIF_SAFE_acord.pdf,C:\claims_agent\dataset\life\police_reports_100\PR-10006-LIF_CLM-2025-0006-LIF_SAFE_police.pdf,C:\claims_agent\dataset\life\loss_reports_100\CLM-2025-0006-LIF_SAFE_loss.pdf,0.015,0,0,1.0,0.0,0.203,Low,2.0
life,CLM-2025-0007,C:\claims_agent\dataset\life\accord_form_100\CLM-2025-0007-LIF_SAFE_acord.pdf,C:\claims_agent\dataset\life\police_reports_100\PR-10007-LIF_CLM-2025-0007-LIF_SAFE_police.pdf,C:\claims_agent\dataset\life\loss_reports_100\CLM-2025-0007-LIF_SAFE_loss.pdf,0.0259,0,1,1.0,0.0,0.2252,Low,2.0
life,CLM-2025-0008,C:\claims_agent\dataset\life\accord_form_100\CLM-2025-0008-LIF_SAFE_acord.pdf,C:\claims_agent\dataset\life\police_reports_100\PR-10008-LIF_CLM-2025-0008-LIF_SAFE_police.pdf,C:\claims_agent\dataset\life\loss_reports_100\CLM-2025-0008-LIF_SAFE_loss.pdf,0.0022,0,1,1.0,0.0,0.2204,Low,2.0
life,CLM-2025-0009,C:\claims_agent\dataset\life\accord_form_100\CLM-2025-0009-LIF_SAFE_acord.pdf,C:\claims_agent\dataset\life\police_reports_100\PR-10009-LIF_CLM-2025-0009-LIF_SAFE_police.pdf,C:\claims_agent\dataset\life\loss_reports_100\CLM-2025-0009-LIF_SAFE_loss.pdf,0.0522,0,1,1.0,0.0,0.2304,Low,2.0
life,CLM-2025-0010,C:\claims_agent\dataset\life\accord_form_100\CLM-2025-0010-LIF_SAFE_acord.pdf,C:\claims_agent\dataset\life\police_reports_100\PR-10010-LIF_CLM-2025-0010-LIF_SAFE_police.pdf,C:\claims_agent\dataset\life\loss_reports_100\CLM-2025-0010-LIF_SAFE_loss.pdf,0.0322,0,2,1.0,0.0,0.2464,Low,2.0
life,CLM-2025-0011,C:\claims_agent\dataset\life\accord_form_100\CLM-2025-0011-LIF_SAFE_acord.pdf,C:\claims_agent\dataset\life\police_reports_100\PR-10011-LIF_CLM-2025-0011-LIF_SAFE_police.pdf,C:\claims_agent\dataset\life\loss_reports_100\CLM-2025-0011-LIF_SAFE_loss.pdf,0.0385,0,0,1.0,0.0,0.2077,Low,2.0
life,CLM-2025-0012,C:\claims_agent\dataset\life\accord_form_100\CLM-2025-0012-LIF_SAFE_acord.pdf,C:\claims_agent\dataset\life\police_reports_100\PR-10012-LIF_CLM-2025-0012-LIF_SAFE_police.pdf,C:\claims_agent\dataset\life\loss_reports_100\CLM-2025-0012-LIF_SAFE_loss.pdf,0.0331,0,0,1.0,0.0,0.2066,Low,2.0
life,CLM-2025-0013,C:\claims_agent\dataset\life\accord_form_100\CLM-2025-0013-LIF_SAFE_acord.pdf,C:\claims_agent\dataset\life\police_reports_100\PR-10013-LIF_CLM-2025-0013-LIF_SAFE_police.pdf,C:\claims_agent\dataset\life\loss_reports_100\CLM-2025-0013-LIF_SAFE_loss.pdf,0.0039,0,2,1.0,0.0,0.2408,Low,2.0
life,CLM-2025-0014,C:\claims_agent\dataset\life\accord_form_100\CLM-2025-0014-LIF_SAFE_acord.pdf,C:\claims_agent\dataset\life\police_reports_100\PR-10014-LIF_CLM-2025-0014-LIF_SAFE_police.pdf,C:\claims_agent\dataset\life\loss_reports_100\CLM-2025-0014-LIF_SAFE_loss.pdf,0.0205,0,1,1.0,0.0,0.2241,Low,2.0
life,CLM-2025-0015,C:\claims_agent\dataset\life\accord_form_100\CLM-2025-0015-LIF_SAFE_acord.pdf,C:\claims_agent\dataset\life\police_reports_100\PR-10015-LIF_CLM-2025-0015-LIF_SAFE_police.pdf,C:\claims_agent\dataset\life\loss_reports_100\CLM-2025-0015-LIF_SAFE_loss.pdf,0.0211,0,2,1.0,0.0,0.2442,Low,2.0
life,CLM-2025-0016,C:\claims_agent\dataset\life\accord_form_100\CLM-2025-0016-LIF_SAFE_acord.pdf,C:\claims_agent\dataset\life\police_reports_100\PR-10016-LIF_CLM-2025-0016-LIF_SAFE_police.pdf,C:\claims_agent\dataset\life\loss_reports_100\CLM-2025-0016-LIF_SAFE_loss.pdf,0.0351,0,2,1.0,0.0,0.247,Low,2.0
