category,claim_short_id,acord_path,police_path,loss_path,damage_difference,injury_mismatch,date_difference_days,location_match,vehicle_match,fraud_inconsistency_score,severity_level,complexity_score
property,CLM-2025-0001,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0001-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10001-PRO_CLM-2025-0001-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0001-PRO_SAFE_loss.pdf,0.0289,0,0,1.0,0.0,0.2058,Low,2.0
property,CLM-2025-0002,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0002-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10002-PRO_CLM-2025-0002-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0002-PRO_SAFE_loss.pdf,0.0206,0,0,1.0,0.0,0.2041,Low,2.0
property,CLM-2025-0003,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0003-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10003-PRO_CLM-2025-0003-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0003-PRO_SAFE_loss.pdf,0.0179,0,0,1.0,0.0,0.2036,Low,2.0
property,CLM-2025-0004,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0004-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10004-PRO_CLM-2025-0004-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0004-PRO_SAFE_loss.pdf,0.0102,0,2,1.0,0.0,0.242,Low,2.0
property,CLM-2025-0005,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0005-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10005-PRO_CLM-2025-0005-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0005-PRO_SAFE_loss.pdf,0.0408,0,2,1.0,0.0,0.2482,Low,2.0
property,CLM-2025-0006,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0006-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10006-PRO_CLM-2025-0006-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0006-PRO_SAFE_loss.pdf,0.0,0,2,1.0,0.0,0.24,Low,2.0
property,CLM-2025-0007,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0007-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10007-PRO_CLM-2025-0007-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0007-PRO_SAFE_loss.pdf,0.0321,0,2,1.0,0.0,0.2464,Low,2.0
property,CLM-2025-0008,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0008-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10008-PRO_CLM-2025-0008-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0008-PRO_SAFE_loss.pdf,0.0127,0,0,1.0,0.0,0.2025,Low,2.0
property,CLM-2025-0009,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0009-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10009-PRO_CLM-2025-0009-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0009-PRO_SAFE_loss.pdf,0.0275,0,2,1.0,0.0,0.2455,Low,2.0
property,CLM-2025-0010,C:\claims_agent\dataset\property\accord_form_100\CLM-2025-0010-PRO_SAFE_acord.pdf,C:\claims_agent\dataset\property\police_reports_100\PR-10010-PRO_CLM-2025-0010-PRO_SAFE_police.pdf,C:\claims_agent\dataset\property\loss_reports_100\CLM-2025-0010-PRO_SAFE_loss.pdf,0.0391,0,2,1.0,0.0,0.2478,Low,2.0
