source,claim_id,claim_short_id,police_report_no,policy_number,incident_date,location,vehicle_registration,injuries_reported,estimated_damage_cost,path
acord,CLM-2025-01-0001,CLM-2025-0001,PR-10001,POL-400001,2025-10-06,Hyderabad,MH 12 AB 1001,1,123.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0001_SAFE_acord.pdf
acord,CLM-2025-01-0002,CLM-2025-0002,PR-10002,POL-400002,2025-10-07,Delhi,MH 12 AB 1002,1,126.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0002_SAFE_acord.pdf
acord,CLM-2025-01-0003,CLM-2025-0003,PR-10003,POL-400003,2025-10-08,Delhi,MH 12 AB 1003,1,129.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0003_SAFE_acord.pdf
acord,CLM-2025-01-0004,CLM-2025-0004,PR-10004,POL-400004,2025-10-09,Hyderabad,MH 12 AB 1004,1,132.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0004_SAFE_acord.pdf
acord,CLM-2025-01-0005,CLM-2025-0005,PR-10005,POL-400005,2025-10-10,Bengaluru,MH 12 AB 1005,1,135.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0005_SAFE_acord.pdf
acord,CLM-2025-01-0006,CLM-2025-0006,PR-10006,POL-400006,2025-10-11,Mumbai,MH 12 AB 1006,1,138.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0006_SAFE_acord.pdf
acord,CLM-2025-01-0007,CLM-2025-0007,PR-10007,POL-400007,2025-10-12,Mumbai,MH 12 AB 1007,1,120.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0007_SAFE_acord.pdf
acord,CLM-2025-01-0008,CLM-2025-0008,PR-10008,POL-400008,2025-10-13,Mumbai,MH 12 AB 1008,1,123.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0008_SAFE_acord.pdf
acord,CLM-2025-01-0009,CLM-2025-0009,PR-10009,POL-400009,2025-10-14,Hyderabad,MH 12 AB 1009,1,126.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0009_SAFE_acord.pdf
acord,CLM-2025-01-0010,CLM-2025-0010,PR-10010,POL-400010,2025-10-05,Delhi,MH 12 AB 1010,1,129.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0010_SAFE_acord.pdf
acord,CLM-2025-01-0011,CLM-2025-0011,PR-10011,POL-400011,2025-10-06,Hyderabad,MH 12 AB 1011,1,132.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0011_SAFE_acord.pdf
acord,CLM-2025-01-0012,CLM-2025-0012,PR-10012,POL-400012,2025-10-07,Hyderabad,MH 12 AB 1012,1,135.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0012_SAFE_acord.pdf
acord,CLM-2025-01-0013,CLM-2025-0013,PR-10013,POL-400013,2025-10-08,Pune,MH 12 AB 1013,1,138.0,C:\claims_agent\dataset\accord_form_100\CLM-2025-0013_SAFE_acord.pdf
